"GHO","PUBLISHSTATE","YEAR","REGION","WORLDBANKINCOMEGROUP","COUNTRY","Display Value","Numeric","Low","High","Comments"
"PCV3","PUBLISHED","2015","EMR","WB_LI","AFG","65","65.00000","","",""
"WHS4_100","PUBLISHED","1992","EMR","WB_LI","AFG","21","21.00000","","",""
"WHS4_100","PUBLISHED","1995","EMR","WB_LI","AFG","20","20.00000","","",""
"WHS4_100","PUBLISHED","2012","EMR","WB_LI","AFG","67","67.00000","","",""
"WHS4_543","PUBLISHED","1982","EMR","WB_LI","AFG","10","10.00000","","",""
"WHS4_543","PUBLISHED","2016","EMR","WB_LI","AFG","78","78.00000","","",""
"WHS4_544","PUBLISHED","1994","EMR","WB_LI","AFG","8","8.00000","","",""
"WHS4_100","PUBLISHED","1989","AFR","WB_LMI","AGO","18","18.00000","","",""
"WHS4_100","PUBLISHED","1992","AFR","WB_LMI","AGO","21","21.00000","","",""
"WHS4_543","PUBLISHED","1992","AFR","WB_LMI","AGO","47","47.00000","","",""
"WHS4_543","PUBLISHED","2009","AFR","WB_LMI","AGO","70","70.00000","","",""
"WHS4_543","PUBLISHED","2012","AFR","WB_LMI","AGO","73","73.00000","","",""
"WHS4_544","PUBLISHED","1994","AFR","WB_LMI","AGO","28","28.00000","","",""
"WHS8_110","PUBLISHED","1989","AFR","WB_LMI","AGO","48","48.00000","","",""
"PCV3","PUBLISHED","2012","EUR","WB_UMI","ALB","99","99.00000","","",""
"WHS4_100","PUBLISHED","2015","EUR","WB_UMI","ALB","99","99.00000","","",""
"WHS4_117","PUBLISHED","2006","EUR","WB_UMI","ALB","98","98.00000","","",""
"WHS4_117","PUBLISHED","2009","EUR","WB_UMI","ALB","98","98.00000","","",""
"WHS4_129","PUBLISHED","2015","EUR","WB_UMI","ALB","99","99.00000","","",""
"WHS4_543","PUBLISHED","2007","EUR","WB_UMI","ALB","98","98.00000","","",""
"WHS4_544","PUBLISHED","1998","EUR","WB_UMI","ALB","97","97.00000","","",""
"WHS4_544","PUBLISHED","2001","EUR","WB_UMI","ALB","97","97.00000","","",""
"WHS4_544","PUBLISHED","2018","EUR","WB_UMI","ALB","99","99.00000","","",""
"WHS4_100","PUBLISHED","2006","EUR","WB_HI","AND","93","93.00000","","",""
