"GHO","PUBLISHSTATE","YEAR","REGION","WORLDBANKINCOMEGROUP","COUNTRY","Display Value","Numeric","Low","High","Comments"
"WHS9_85","PUBLISHED","2007-2012","AFR","WB_LI","SLE","43","43.00000","","",""
"WHS9_85","PUBLISHED","2007-2012","AFR","WB_LI","GMB","51","51.00000","","",""
"WHS9_85","PUBLISHED","2007-2012","SEAR","WB_LI","BGD","58","58.00000","","",""
"WHS9_85","PUBLISHED","2007-2012","AFR","WB_LMI","MRT","59","59.00000","","",""
"WHS9_85","PUBLISHED","2007-2012","WPR","WB_LMI","PNG","62","62.00000","","",""
"WHS9_85","PUBLISHED","2007-2012","EMR","WB_LMI","MAR","67","67.00000","","",""
"WHS9_85","PUBLISHED","2007-2012","AFR","WB_LI","UGA","73","73.00000","","",""
"WHS9_85","PUBLISHED","2007-2012","EMR","WB_LMI","EGY","74","74.00000","","",""
"WHS9_85","PUBLISHED","2007-2012","WPR","WB_LMI","VUT","83","83.00000","","",""
"WHS9_85","PUBLISHED","2007-2012","EMR","WB_LMI","SYR","84","84.00000","","",""
"WHS9_85","PUBLISHED","2007-2012","EMR","WB_UMI","IRN","85","85.00000","","",""
"WHS9_85","PUBLISHED","2007-2012","EMR","WB_HI","SAU","87","87.00000","","",""
"WHS9_85","PUBLISHED","2007-2012","AFR","WB_UMI","NAM","89","89.00000","","",""
"WHS9_85","PUBLISHED","2007-2012","AMR","WB_UMI","BRA","90","90.00000","","",""
"WHS9_85","PUBLISHED","2007-2012","AMR","WB_LMI","BOL","91","91.00000","","",""
"WHS9_85","PUBLISHED","2007-2012","AFR","WB_UMI","SYC","92","92.00000","","","Literacy rates are estimates for current decade based on survey or census data from previous decade."
"WHS9_85","PUBLISHED","2007-2012","AFR","WB_UMI","ZAF","93","93.00000","","",""
"WHS9_85","PUBLISHED","2007-2012","EMR","WB_HI","KWT","94","94.00000","","",""
"WHS9_85","PUBLISHED","2007-2012","WPR","WB_HI","BRN","95","95.00000","","",""
"WHS9_85","PUBLISHED","2007-2012","EMR","WB_HI","QAT","96","96.00000","","",""
"WHS9_85","PUBLISHED","2007-2012","AMR","WB_UMI","CRI","96","96.00000","","",""
"WHS9_85","PUBLISHED","2007-2012","AMR","WB_UMI","VEN","96","96.00000","","",""
"WHS9_85","PUBLISHED","2007-2012","EUR","WB_HI","ESP","98","98.00000","","",""
"WHS9_85","PUBLISHED","2007-2012","AMR","WB_UMI","ARG","98","98.00000","","",""
"WHS9_85","PUBLISHED","2007-2012","EUR","WB_HI","CYP","99","99.00000","","",""
"WHS9_85","PUBLISHED","2007-2012","EUR","WB_HI","ITA","99","99.00000","","",""
"WHS9_85","PUBLISHED","2007-2012","WPR","WB_LMI","WSM","99","99.00000","","",""
"WHS9_85","PUBLISHED","2007-2012","EUR","WB_UMI","MNE","99","99.00000","","",""
"WHS9_85","PUBLISHED","2007-2012","EUR","WB_HI","EST","100","100.00000","","",""
"WHS9_85","PUBLISHED","2007-2012","EUR","WB_HI","SVN","100","100.00000","","",""
"WHS9_85","PUBLISHED","2007-2012","EUR","WB_LI","TJK","100","100.00000","","",""
"WHS9_85","PUBLISHED","2007-2012","EUR","WB_UMI","KAZ","100","100.00000","","",""
"GHED_CHEGDP_SHA2011","PUBLISHED","2008","EMR","WB_LI","AFG","10.26","10.26000","","",""
"GHED_CHEGDP_SHA2011","PUBLISHED","2010","EMR","WB_LI","AFG","8.57","8.57000","","",""
"GHED_CHEGDP_SHA2011","PUBLISHED","2017","EMR","WB_LI","AFG","11.78","11.78000","","",""
"GHED_CHEGDP_SHA2011","PUBLISHED","2000","EUR","WB_UMI","ALB","7.23","7.23000","","",""
"GHED_CHEGDP_SHA2011","PUBLISHED","2005","EUR","WB_UMI","ALB","6.34","6.34000","","",""
"GHED_CHEGDP_SHA2011","PUBLISHED","2007","EUR","WB_UMI","ALB","6.32","6.32000","","",""
"GHED_CHEGDP_SHA2011","PUBLISHED","2014","EUR","WB_UMI","ALB","5.50","5.50000","","",""
"GHED_CHEGDP_SHA2011","PUBLISHED","2016","EUR","WB_UMI","ALB","4.92","4.92000","","",""
"GHED_CHEGDP_SHA2011","PUBLISHED","2004","AFR","WB_UMI","DZA","3.54","3.54000","","",""
"GHED_CHEGDP_SHA2011","PUBLISHED","2006","AFR","WB_UMI","DZA","3.36","3.36000","","",""
"GHED_CHEGDP_SHA2011","PUBLISHED","2011","AFR","WB_UMI","DZA","5.27","5.27000","","",""
"GHED_CHEGDP_SHA2011","PUBLISHED","2013","AFR","WB_UMI","DZA","6.04","6.04000","","",""
"GHED_CHEGDP_SHA2011","PUBLISHED","2001","EUR","WB_HI","AND","5.94","5.94000","","",""
"GHED_CHEGDP_SHA2011","PUBLISHED","2003","EUR","WB_HI","AND","5.53","5.53000","","",""
"GHED_CHEGDP_SHA2011","PUBLISHED","2010","EUR","WB_HI","AND","6.65","6.65000","","",""
"GHED_CHEGDP_SHA2011","PUBLISHED","2012","EUR","WB_HI","AND","6.10","6.10000","","",""
"GHED_CHEGDP_SHA2011","PUBLISHED","2017","EUR","WB_HI","AND","6.54","6.54000","","",""
