DATAFLOW,REF_AREA:Geographic area,INDICATOR:Indicator,SEX:Sex,TIME_PERIOD:Time period,OBS_VALUE:Observation Value,UNIT_MULTIPLIER:Unit multiplier,UNIT_MEASURE:Unit of measure,OBS_STATUS:Observation Status,OBS_CONF:Observation confidentaility,LOWER_BOUND:Lower Bound,UPPER_BOUND:Upper Bound,WGTD_SAMPL_SIZE:Weighted Sample Size,OBS_FOOTNOTE:Observation footnote,SERIES_FOOTNOTE:Series footnote,DATA_SOURCE:Data Source,SOURCE_LINK:Citation of or link to the data source,CUSTODIAN:Custodian,TIME_PERIOD_METHOD:Time period activity related to when the data are collected,REF_PERIOD:Reference Period,COVERAGE_TIME:The period of time for which data are provided,AGE:Current age
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,CME_MRY0: Infant mortality rate,F: Female,2017,46.1192358042126,,D_PER_1000_B: Deaths per 1000 live births,A: Normal value,,38.9467815281702,53.2021066769446,,,,,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,CME_MRY0: Infant mortality rate,M: Male,2017,52.9483415602398,,D_PER_1000_B: Deaths per 1000 live births,A: Normal value,,44.7709220478318,61.2499693585499,,,,,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,CME_MRY0: Infant mortality rate,_T: Total,2017,49.6114278272348,,D_PER_1000_B: Deaths per 1000 live births,A: Normal value,,42.0776711521563,57.2266832225475,,,,,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,ALB: Albania,CME_MRY0: Infant mortality rate,F: Female,2017,7.4667241809283,,D_PER_1000_B: Deaths per 1000 live births,A: Normal value,,7.11137682542636,7.85035919561855,,,,,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,ALB: Albania,CME_MRY0: Infant mortality rate,M: Male,2017,9.24408988141643,,D_PER_1000_B: Deaths per 1000 live births,A: Normal value,,8.82685528052961,9.70101390355508,,,,,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,ALB: Albania,CME_MRY0: Infant mortality rate,_T: Total,2017,8.37777110130546,,D_PER_1000_B: Deaths per 1000 live births,A: Normal value,,8.0435865265614,8.74313747880561,,,,,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,DZA: Algeria,CME_MRY0: Infant mortality rate,F: Female,2017,19.4395219142672,,D_PER_1000_B: Deaths per 1000 live births,A: Normal value,,19.000627287744,19.8832406700738,,,,,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,DZA: Algeria,CME_MRY0: Infant mortality rate,M: Male,2017,22.2372873364537,,D_PER_1000_B: Deaths per 1000 live births,A: Normal value,,21.748467175132,22.7294553277724,,,,,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,DZA: Algeria,CME_MRY0: Infant mortality rate,_T: Total,2017,20.8725214412831,,D_PER_1000_B: Deaths per 1000 live births,A: Normal value,,20.4259006801181,21.3250823897235,,,,,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AND: Andorra,CME_MRY0: Infant mortality rate,F: Female,2017,2.75801384474869,,D_PER_1000_B: Deaths per 1000 live births,A: Normal value,,0.844440450767107,9.42070953432227,,,,,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AND: Andorra,CME_MRY0: Infant mortality rate,M: Male,2017,3.35609729738313,,D_PER_1000_B: Deaths per 1000 live births,A: Normal value,,1.02998915728958,11.3980321548468,,,,,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AND: Andorra,CME_MRY0: Infant mortality rate,_T: Total,2017,3.06482047866634,,D_PER_1000_B: Deaths per 1000 live births,A: Normal value,,0.938358830304152,10.3868331620937,,,,,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AGO: Angola,CME_MRY0: Infant mortality rate,F: Female,2017,47.9854577494069,,D_PER_1000_B: Deaths per 1000 live births,A: Normal value,,26.5370977042764,79.4052044063441,,,,,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AGO: Angola,CME_MRY0: Infant mortality rate,M: Male,2017,58.8529953173577,,D_PER_1000_B: Deaths per 1000 live births,A: Normal value,,33.0163087571894,97.6723684796213,,,,,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AGO: Angola,CME_MRY0: Infant mortality rate,_T: Total,2017,53.5351751311656,,D_PER_1000_B: Deaths per 1000 live births,A: Normal value,,29.9956015473571,88.8161183940906,,,,,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,ATG: Antigua and Barbuda,CME_MRY0: Infant mortality rate,F: Female,2017,5.75022212741313,,D_PER_1000_B: Deaths per 1000 live births,A: Normal value,,4.34456863636771,7.61111790437692,,,,,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,ATG: Antigua and Barbuda,CME_MRY0: Infant mortality rate,M: Male,2017,6.71004671263221,,D_PER_1000_B: Deaths per 1000 live births,A: Normal value,,5.05940677258492,8.86262856168656,,,,,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,ATG: Antigua and Barbuda,CME_MRY0: Infant mortality rate,_T: Total,2017,6.23465450521649,,D_PER_1000_B: Deaths per 1000 live births,A: Normal value,,4.71745036614393,8.22948590286105,,,,,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,ARG: Argentina,CME_MRY0: Infant mortality rate,F: Female,2017,8.17695960604257,,D_PER_1000_B: Deaths per 1000 live births,A: Normal value,,7.97196191141571,8.38673276375513,,,,,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,ARG: Argentina,CME_MRY0: Infant mortality rate,M: Male,2017,10.1576230036779,,D_PER_1000_B: Deaths per 1000 live births,A: Normal value,,9.91562430527211,10.4067037628366,,,,,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,ARG: Argentina,CME_MRY0: Infant mortality rate,_T: Total,2017,9.19189165234668,,D_PER_1000_B: Deaths per 1000 live births,A: Normal value,,8.98855636868764,9.39997082744401,,,,,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,ARM: Armenia,CME_MRY0: Infant mortality rate,F: Female,2017,10.3075806586815,,D_PER_1000_B: Deaths per 1000 live births,A: Normal value,,7.91484902340448,13.0075765468839,,,,,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,ARM: Armenia,CME_MRY0: Infant mortality rate,M: Male,2017,12.8270616930279,,D_PER_1000_B: Deaths per 1000 live births,A: Normal value,,9.88575917907328,16.0733839518182,,,,,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,ARM: Armenia,CME_MRY0: Infant mortality rate,_T: Total,2017,11.6070266010033,,D_PER_1000_B: Deaths per 1000 live births,A: Normal value,,8.94820852026248,14.498079151665,,,,,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AUS: Australia,CME_MRY0: Infant mortality rate,F: Female,2017,2.85568977410918,,D_PER_1000_B: Deaths per 1000 live births,A: Normal value,,2.76462521777496,2.95143885634249,,,,,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AUS: Australia,CME_MRY0: Infant mortality rate,M: Male,2017,3.40643475634166,,D_PER_1000_B: Deaths per 1000 live births,A: Normal value,,3.30343001761398,3.51234854105875,,,,,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AUS: Australia,CME_MRY0: Infant mortality rate,_T: Total,2017,3.13777512840054,,D_PER_1000_B: Deaths per 1000 live births,A: Normal value,,3.05786710239798,3.21948382183882,,,,,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,UNSDG_AUSTRALIANEWZEALAND: Australia and New Zealand,CME_MRY0: Infant mortality rate,F: Female,2017,3.01008437647331,,D_PER_1000_B: Deaths per 1000 live births,A: Normal value,,2.91678298184279,3.1084585930838,,,,,,,,,,_T: Total
