DATAFLOW,REF_AREA:Geographic area,INDICATOR:Indicator,SEX:Sex,TIME_PERIOD:Time period,OBS_VALUE:Observation Value,UNIT_MULTIPLIER:Unit multiplier,UNIT_MEASURE:Unit of measure,OBS_STATUS:Observation Status,OBS_CONF:Observation confidentaility,LOWER_BOUND:Lower Bound,UPPER_BOUND:Upper Bound,WGTD_SAMPL_SIZE:Weighted Sample Size,OBS_FOOTNOTE:Observation footnote,SERIES_FOOTNOTE:Series footnote,DATA_SOURCE:Data Source,SOURCE_LINK:Citation of or link to the data source,CUSTODIAN:Custodian,TIME_PERIOD_METHOD:Time period activity related to when the data are collected,REF_PERIOD:Reference Period,COVERAGE_TIME:The period of time for which data are provided,AGE:Current age
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,MNCH_MATERNAL_DEATHS: Maternal deaths (estimated),F: Female,2017,7700,0: Units,NUMBER: Number,E: Estimated value,F: Free,,,,,,"WHO, UNICEF, UNFPA, World Bank Group and UNPD (MMEIG) - September 2019",,,,,,Y15T49: 15 to 49 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,ALB: Albania,MNCH_MATERNAL_DEATHS: Maternal deaths (estimated),F: Female,2017,5,0: Units,NUMBER: Number,E: Estimated value,F: Free,,,,,,"WHO, UNICEF, UNFPA, World Bank Group and UNPD (MMEIG) - September 2019",,,,,,Y15T49: 15 to 49 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,DZA: Algeria,MNCH_MATERNAL_DEATHS: Maternal deaths (estimated),F: Female,2017,1200,0: Units,NUMBER: Number,E: Estimated value,F: Free,,,,,,"WHO, UNICEF, UNFPA, World Bank Group and UNPD (MMEIG) - September 2019",,,,,,Y15T49: 15 to 49 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AGO: Angola,MNCH_MATERNAL_DEATHS: Maternal deaths (estimated),F: Female,2017,3000,0: Units,NUMBER: Number,E: Estimated value,F: Free,,,,,,"WHO, UNICEF, UNFPA, World Bank Group and UNPD (MMEIG) - September 2019",,,,,,Y15T49: 15 to 49 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,ATG: Antigua and Barbuda,MNCH_MATERNAL_DEATHS: Maternal deaths (estimated),F: Female,2017,1,0: Units,NUMBER: Number,E: Estimated value,F: Free,,,,,,"WHO, UNICEF, UNFPA, World Bank Group and UNPD (MMEIG) - September 2019",,,,,,Y15T49: 15 to 49 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,ARG: Argentina,MNCH_MATERNAL_DEATHS: Maternal deaths (estimated),F: Female,2017,290,0: Units,NUMBER: Number,E: Estimated value,F: Free,,,,,,"WHO, UNICEF, UNFPA, World Bank Group and UNPD (MMEIG) - September 2019",,,,,,Y15T49: 15 to 49 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,ARM: Armenia,MNCH_MATERNAL_DEATHS: Maternal deaths (estimated),F: Female,2017,11,0: Units,NUMBER: Number,E: Estimated value,F: Free,,,,,,"WHO, UNICEF, UNFPA, World Bank Group and UNPD (MMEIG) - September 2019",,,,,,Y15T49: 15 to 49 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AUS: Australia,MNCH_MATERNAL_DEATHS: Maternal deaths (estimated),F: Female,2017,20,0: Units,NUMBER: Number,E: Estimated value,F: Free,,,,,,"WHO, UNICEF, UNFPA, World Bank Group and UNPD (MMEIG) - September 2019",,,,,,Y15T49: 15 to 49 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AUT: Austria,MNCH_MATERNAL_DEATHS: Maternal deaths (estimated),F: Female,2017,4,0: Units,NUMBER: Number,E: Estimated value,F: Free,,,,,,"WHO, UNICEF, UNFPA, World Bank Group and UNPD (MMEIG) - September 2019",,,,,,Y15T49: 15 to 49 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AZE: Azerbaijan,MNCH_MATERNAL_DEATHS: Maternal deaths (estimated),F: Female,2017,44,0: Units,NUMBER: Number,E: Estimated value,F: Free,,,,,,"WHO, UNICEF, UNFPA, World Bank Group and UNPD (MMEIG) - September 2019",,,,,,Y15T49: 15 to 49 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,BHS: Bahamas,MNCH_MATERNAL_DEATHS: Maternal deaths (estimated),F: Female,2017,4,0: Units,NUMBER: Number,E: Estimated value,F: Free,,,,,,"WHO, UNICEF, UNFPA, World Bank Group and UNPD (MMEIG) - September 2019",,,,,,Y15T49: 15 to 49 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,BHR: Bahrain,MNCH_MATERNAL_DEATHS: Maternal deaths (estimated),F: Female,2017,3,0: Units,NUMBER: Number,E: Estimated value,F: Free,,,,,,"WHO, UNICEF, UNFPA, World Bank Group and UNPD (MMEIG) - September 2019",,,,,,Y15T49: 15 to 49 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,BGD: Bangladesh,MNCH_MATERNAL_DEATHS: Maternal deaths (estimated),F: Female,2017,5100,0: Units,NUMBER: Number,E: Estimated value,F: Free,,,,,,"WHO, UNICEF, UNFPA, World Bank Group and UNPD (MMEIG) - September 2019",,,,,,Y15T49: 15 to 49 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,BRB: Barbados,MNCH_MATERNAL_DEATHS: Maternal deaths (estimated),F: Female,2017,1,0: Units,NUMBER: Number,E: Estimated value,F: Free,,,,,,"WHO, UNICEF, UNFPA, World Bank Group and UNPD (MMEIG) - September 2019",,,,,,Y15T49: 15 to 49 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,BLR: Belarus,MNCH_MATERNAL_DEATHS: Maternal deaths (estimated),F: Female,2017,3,0: Units,NUMBER: Number,E: Estimated value,F: Free,,,,,,"WHO, UNICEF, UNFPA, World Bank Group and UNPD (MMEIG) - September 2019",,,,,,Y15T49: 15 to 49 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,BEL: Belgium,MNCH_MATERNAL_DEATHS: Maternal deaths (estimated),F: Female,2017,6,0: Units,NUMBER: Number,E: Estimated value,F: Free,,,,,,"WHO, UNICEF, UNFPA, World Bank Group and UNPD (MMEIG) - September 2019",,,,,,Y15T49: 15 to 49 years old
