GHO,DATASOURCE,PUBLISHSTATE,YEAR,REGION,COUNTRY,EDUCATIONLEVEL,SEX,RESIDENCEAREATYPE,WEALTHQUINTILE,DHSMICSGEOREGION,WEALTHDECILE,Display Value,Numeric,Low,High,Comments
imr,EQ_MICS,PUBLISHED,2010,EMR,AFG,,,,,AFGMICS201005,,No data,,,,Not available.
imr,EQ_MICS,PUBLISHED,2010,EMR,AFG,,,,,AFGMICS201007,,No data,,,,Not available.
imr,EQ_DHS,PUBLISHED,2015,EMR,AFG,,,,,AFGDHS201503,,62.7 [49.7-78.7],63,50,79,
imr,EQ_DHS,PUBLISHED,2015,EMR,AFG,,,,,AFGDHS201505,,27.6 [21.5-35.4],28,22,35,
imr,EQ_DHS,PUBLISHED,2015,EMR,AFG,,,,,AFGDHS201510,,64.7 [43.2-95.8],65,43,96,
imr,EQ_DHS,PUBLISHED,2015,EMR,AFG,,,,,AFGDHS201512,,13.3 [9.1-19.4],13,9,19,
imr,EQ_DHS,PUBLISHED,2015,EMR,AFG,,,,,AFGDHS201519,,28.5 [19.5-41.4],28,19,41,
imr,EQ_DHS,PUBLISHED,2015,EMR,AFG,,,,,AFGDHS201521,,53.1 [41.1-68.4],53,41,68,
imr,EQ_DHS,PUBLISHED,2015,EMR,AFG,,,,,AFGDHS201528,,42.2 [31.9-55.5],42,32,56,
imr,EQ_DHS,PUBLISHED,2015,EMR,AFG,,,,,AFGDHS201530,,2.7 [1.1-6.3],3,1,6,
imr,EQ_MICS,PUBLISHED,2000,EUR,ALB,,,,,ALBMICS200002,,No data,,,,Not available.
imr,EQ_RHS,PUBLISHED,2002,EUR,ALB,,,,,ALBRHS200202,,No data,,,,Not available.
imr,EQ_MICS,PUBLISHED,2005,EUR,ALB,,,,,ALBMICS200501,,No data,,,,Not available.
imr,EQ_MICS,PUBLISHED,2005,EUR,ALB,,,,,ALBMICS200503,,No data,,,,Not available.
imr,EQ_DHS,PUBLISHED,2017,EUR,ALB,,,,,ALBDHS201707,,15.4 [4.2-54.7],15,4,55,Attention - Estimate is based on 250-499 unweighted person-years of exposure to the risk of death.
imr,EQ_DHS,PUBLISHED,2017,EUR,ALB,,,,,ALBDHS201709,,5.5 [1.7-18.1],6,2,18,Attention - Estimate is based on 250-499 unweighted person-years of exposure to the risk of death.
imr,EQ_MICS,PUBLISHED,2000,AFR,DZA,,,,,DZAMICS200001,,No data,,,,Not available.
imr,EQ_MICS,PUBLISHED,2000,AFR,DZA,,,,,DZAMICS200003,,No data,,,,Not available.
imr,EQ_MICS,PUBLISHED,2006,AFR,DZA,,,,,DZAMICS200603,,No data,,,,Not available.
imr,EQ_MICS,PUBLISHED,2012,AFR,DZA,,,,,DZAMICS201202,,22.4 [17.4-28.8],22,17,29,
imr,EQ_MICS,PUBLISHED,1996,AFR,AGO,,,,,AGOMICS199603,,No data,,,,Not available.
imr,EQ_MICS,PUBLISHED,1996,AFR,AGO,,,,,AGOMICS199608,,No data,,,,Not available.
imr,EQ_MICS,PUBLISHED,1996,AFR,AGO,,,,,AGOMICS199610,,No data,,,,Not available.
imr,EQ_MICS,PUBLISHED,1996,AFR,AGO,,,,,AGOMICS199617,,No data,,,,Not available.
imr,EQ_DHS,PUBLISHED,2015,AFR,AGO,,,,,AGODHS201502,,35.3 [21.8-56.5],35,22,56,Attention - Estimate is based on 250-499 unweighted person-years of exposure to the risk of death.
imr,EQ_DHS,PUBLISHED,2015,AFR,AGO,,,,,AGODHS201504,,32.5 [24.8-42.4],32,25,42,
imr,EQ_DHS,PUBLISHED,2015,AFR,AGO,,,,,AGODHS201511,,52.4 [40.4-67.8],52,40,68,
imr,EQ_DHS,PUBLISHED,2015,AFR,AGO,,,,,AGODHS201513,,49.2 [34.9-69.0],49,35,69,Attention - Estimate is based on 250-499 unweighted person-years of exposure to the risk of death.
imr,EQ_DHS,PUBLISHED,2015,AFR,AGO,,,,,AGODHS201518,,23.3 [13.1-41.1],23,13,41,Attention - Estimate is based on 250-499 unweighted person-years of exposure to the risk of death.
