"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","RESIDENCEAREATYPE","Display Value","Numeric","Low","High","Comments"
"WSH_SANITATION_SAFELY_MANAGED","PUBLISHED","2011","AFR","DZA","TOTL","18","18.00775","","",""
"WSH_SANITATION_SAFELY_MANAGED","PUBLISHED","2013","AFR","DZA","URB","17","16.69551","","",""
"WSH_SANITATION_SAFELY_MANAGED","PUBLISHED","2014","AFR","DZA","TOTL","18","17.80943","","",""
"WSH_SANITATION_SAFELY_MANAGED","PUBLISHED","2016","AFR","DZA","RUR","21","20.78803","","",""
"WSH_SANITATION_SAFELY_MANAGED","PUBLISHED","2016","AFR","DZA","URB","16","16.48482","","",""
"WSH_SANITATION_SAFELY_MANAGED","PUBLISHED","2001","EUR","AND","RUR","22","21.78866","","",""
"WSH_SANITATION_SAFELY_MANAGED","PUBLISHED","2001","EUR","AND","URB","22","21.78866","","",""
"WSH_SANITATION_SAFELY_MANAGED","PUBLISHED","2010","AFR","DZA","URB","17","17.01156","","",""
"WSH_SANITATION_SAFELY_MANAGED","PUBLISHED","2008","AFR","DZA","TOTL","18","18.18557","","",""
"WSH_SANITATION_SAFELY_MANAGED","PUBLISHED","2007","AFR","DZA","URB","17","17.32761","","",""
"WSH_SANITATION_SAFELY_MANAGED","PUBLISHED","2006","AFR","DZA","RUR","20","19.85666","","",""
"WSH_SANITATION_SAFELY_MANAGED","PUBLISHED","2007","EUR","ALB","TOTL","38","37.62228","","",""
"WSH_SANITATION_SAFELY_MANAGED","PUBLISHED","2006","EUR","ALB","URB","40","39.76376","","",""
"WSH_SANITATION_SAFELY_MANAGED","PUBLISHED","2006","EUR","ALB","RUR","36","35.84063","","",""
"WSH_SANITATION_SAFELY_MANAGED","PUBLISHED","2004","EUR","ALB","TOTL","38","37.93018","","",""
"WSH_SANITATION_SAFELY_MANAGED","PUBLISHED","2003","EUR","ALB","URB","40","39.69178","","",""
"WSH_SANITATION_SAFELY_MANAGED","PUBLISHED","2001","EUR","ALB","TOTL","38","38.42525","","",""
"WSH_SANITATION_SAFELY_MANAGED","PUBLISHED","2000","EUR","ALB","URB","40","39.79776","","",""
"WSH_SANITATION_SAFELY_MANAGED","PUBLISHED","2004","EUR","AND","RUR","43","43.34253","","",""
"WSH_SANITATION_SAFELY_MANAGED","PUBLISHED","2004","EUR","AND","URB","43","43.34253","","",""
"WSH_SANITATION_SAFELY_MANAGED","PUBLISHED","2006","EUR","AND","TOTL","58","57.71179","","",""
