GHO,PUBLISHSTATE,YEAR,REGION,COUNTRY,SEX,Display Value,Numeric,Low,High,Comments
MDG_0000000001,PUBLISHED,1975,EMR,AFG,BTSX,181.5,181.54734,161.1289,207.47405,
MDG_0000000001,PUBLISHED,1984,EMR,AFG,BTSX,144.3,144.3216,131.13761,161.63706,
MDG_0000000001,PUBLISHED,1993,EMR,AFG,BTSX,109.9,109.92987,102.20299,118.12778,
MDG_0000000001,PUBLISHED,2007,EMR,AFG,BTSX,71.7,71.66027,67.07449,76.79033,
MDG_0000000001,PUBLISHED,2016,EMR,AFG,BTSX,51.3,51.31914,44.35608,58.37891,
MDG_0000000001,PUBLISHED,2018,EMR,AFG,BTSX,48,48.04333,39.9443,56.32006,
MDG_0000000001,PUBLISHED,1969,EMR,AFG,FMLE,194.5,194.53628,170.57783,223.62624,
MDG_0000000001,PUBLISHED,1983,EMR,AFG,FMLE,141.1,141.12047,127.06498,159.70961,
MDG_0000000001,PUBLISHED,1992,EMR,AFG,FMLE,107.3,107.30785,99.17014,116.29695,
MDG_0000000001,PUBLISHED,2001,EMR,AFG,FMLE,82.4,82.37175,76.84796,88.52656,
MDG_0000000001,PUBLISHED,2003,EMR,AFG,FMLE,77.4,77.40377,72.30883,83.27941,
MDG_0000000001,PUBLISHED,1968,EMR,AFG,MLE,218.7,218.68965,192.10403,251.15846,
MDG_0000000001,PUBLISHED,1977,EMR,AFG,MLE,181.7,181.69231,161.29625,207.34864,
MDG_0000000001,PUBLISHED,1986,EMR,AFG,MLE,142.7,142.69442,129.84563,158.47411,
MDG_0000000001,PUBLISHED,1991,EMR,AFG,MLE,122.5,122.47907,113.22733,132.74962,
MDG_0000000001,PUBLISHED,2000,EMR,AFG,MLE,95.3,95.2749,88.87076,102.43175,
MDG_0000000001,PUBLISHED,2011,EMR,AFG,MLE,65.5,65.46061,60.07313,71.36773,
MDG_0000000001,PUBLISHED,1980,AFR,AGO,BTSX,140.2,140.23839,108.90017,185.22324,
MDG_0000000001,PUBLISHED,1994,AFR,AGO,BTSX,131.2,131.15862,117.60388,147.77118,
MDG_0000000001,PUBLISHED,2003,AFR,AGO,BTSX,110,110.02648,96.42668,126.4289,
MDG_0000000001,PUBLISHED,1988,AFR,AGO,FMLE,121.7,121.6918,107.07482,139.20451,
MDG_0000000001,PUBLISHED,1997,AFR,AGO,FMLE,117.9,117.9108,104.94604,133.87929,
MDG_0000000001,PUBLISHED,2006,AFR,AGO,FMLE,86.8,86.8003,72.56205,103.14939,
MDG_0000000001,PUBLISHED,1980,AFR,AGO,MLE,150.5,150.46668,116.63397,198.82263,
MDG_0000000001,PUBLISHED,1989,AFR,AGO,MLE,141,140.96542,124.97413,160.49632,
MDG_0000000001,PUBLISHED,1991,AFR,AGO,MLE,141,140.9572,125.59251,159.83217,
MDG_0000000001,PUBLISHED,2000,AFR,AGO,MLE,130.8,130.84631,115.63487,149.25618,
MDG_0000000001,PUBLISHED,2014,AFR,AGO,MLE,66.4,66.42238,40.56681,102.89138,
MDG_0000000001,PUBLISHED,1981,EUR,ALB,BTSX,61.5,61.47555,48.30282,76.68909,
MDG_0000000001,PUBLISHED,1990,EUR,ALB,BTSX,35.5,35.4896,31.77016,39.54526,
MDG_0000000001,PUBLISHED,2015,EUR,ALB,BTSX,8.5,8.50946,8.20544,8.84165,
MDG_0000000001,PUBLISHED,1982,EUR,ALB,FMLE,50.4,50.38705,40.80014,61.21738,
MDG_0000000001,PUBLISHED,1996,EUR,ALB,FMLE,24.7,24.69648,22.14514,27.54952,
MDG_0000000001,PUBLISHED,2005,EUR,ALB,FMLE,15.1,15.11181,14.40247,15.84748,
MDG_0000000001,PUBLISHED,2016,EUR,ALB,FMLE,7.5,7.45794,7.1236,7.82518,
MDG_0000000001,PUBLISHED,1983,EUR,ALB,MLE,59.3,59.25167,49.32444,70.21564,
MDG_0000000001,PUBLISHED,1988,EUR,ALB,MLE,43.8,43.75487,38.81585,49.20743,
MDG_0000000001,PUBLISHED,1997,EUR,ALB,MLE,31.2,31.15479,28.06554,34.56719,
MDG_0000000001,PUBLISHED,2006,EUR,ALB,MLE,18.9,18.91575,18.20349,19.64818,
MDG_0000000001,PUBLISHED,1996,EUR,AND,BTSX,7.7,7.65928,3.06649,18.89894,
MDG_0000000001,PUBLISHED,2005,EUR,AND,BTSX,5.4,5.36816,2.96454,9.56716,
MDG_0000000001,PUBLISHED,2014,EUR,AND,BTSX,3.5,3.4954,1.30551,9.70171,
MDG_0000000001,PUBLISHED,1993,EUR,AND,FMLE,7.4,7.44385,2.42779,22.7662,
MDG_0000000001,PUBLISHED,2002,EUR,AND,FMLE,5.4,5.43585,2.90259,10.14611,
MDG_0000000001,PUBLISHED,2004,EUR,AND,FMLE,5,4.99272,2.76057,8.96925,
MDG_0000000001,PUBLISHED,2013,EUR,AND,FMLE,3.3,3.30773,1.31625,8.52286,
