"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","SEX","Display Value","Numeric","Low","High","Comments"
"TOBACCO_0000000192","PUBLISHED","2005","AFR","BFA","MLE","27.0 [20.2-34.6]","27.00000","20.20000","34.60000",""
"TOBACCO_0000000192","PUBLISHED","2010","AFR","BFA","MLE","31.1 [22.8-42.1]","31.10000","22.80000","42.10000",""
"TOBACCO_0000000192","PUBLISHED","2012","AFR","BFA","MLE","33.1 [23.1-45.8]","33.10000","23.10000","45.80000",""
"TOBACCO_0000000192","PUBLISHED","2015","AFR","BFA","MLE","36.0 [21.7-50.9]","36.00000","21.70000","50.90000",""
"TOBACCO_0000000192","PUBLISHED","2015","AFR","COG","MLE","43.2 [29.0-58.9]","43.20000","29.00000","58.90000",""
"TOBACCO_0000000192","PUBLISHED","2020","AFR","COG","MLE","69.6 [45.6-97.6]","69.60000","45.60000","97.60000",""
"TOBACCO_0000000192","PUBLISHED","2025","AFR","COG","MLE","92.9 [69.1-100.0]","92.90000","69.10000","100.00000",""
"TOBACCO_0000000192","PUBLISHED","2000","AFR","COM","MLE","30.6 [21.3-40.1]","30.60000","21.30000","40.10000",""
"TOBACCO_0000000192","PUBLISHED","2025","AFR","CPV","MLE","30.7 [13.3-54.3]","30.70000","13.30000","54.30000",""
"TOBACCO_0000000192","PUBLISHED","2000","AFR","ETH","MLE","9.0 [6.3-12.4]","9.00000","6.30000","12.40000",""
"TOBACCO_0000000192","PUBLISHED","2005","AFR","ETH","MLE","9.1 [6.7-12.1]","9.10000","6.70000","12.10000",""
"TOBACCO_0000000192","PUBLISHED","2010","AFR","ETH","MLE","9.0 [6.6-11.6]","9.00000","6.60000","11.60000",""
"TOBACCO_0000000192","PUBLISHED","2012","AFR","ETH","MLE","8.9 [6.4-11.9]","8.90000","6.40000","11.90000",""
"TOBACCO_0000000192","PUBLISHED","2010","AFR","KEN","MLE","26.3 [20.3-34.0]","26.30000","20.30000","34.00000",""
